Name,City,Cuisine Style,Ranking,Rating,Number of Reviews,Reviews_WD,Reviews
Indochine,Paris,"Asian, Vietnamese, Vegetarian Friendly",3258,4,109,"Great service, great food, My Indochine (Restaurant) Experience in, 07/08/2017, 02/15/2017","Great service, great food, My Indochine (Restaurant) Experience in, "
Le Zinc des Cavistes,Paris,"French, European, Wine Bar, Bar, Pub",3259,4,361,"Good experience, Very good restaurant, ideal for lunch, 06/27/2017, 11/29/2016","Good experience, Very good restaurant, ideal for lunch, "
Le Diamant Rose,Paris,"Chinese, Asian, Thai, Vegetarian Friendly",3260,45,50,"Great value, Very enjoyable asian meal, 10/07/2017, 08/14/2017","Great value, Very enjoyable asian meal, "
Restaurant Pho Bobum,Paris,"Italian, Pizza",3261,5,15,"Very busy lunch crowd - shows its populari, Quality and Value, 11/26/2017, 06/01/2017","Very busy lunch crowd - shows its populari, Quality and Value, "
Chez Eusebio,Paris,Spanish,3262,4,98,"Superb restaurant, good but expensive, 09/29/2017, 03/21/2016","Superb restaurant, good but expensive, "
Les Comediens,Paris,"French, European",3263,35,197,"Parfait  Great service, gorgeous food, v, Fantastic Service, 04/10/2017, 02/24/2017","Parfait  Great service, gorgeous food, v, Fantastic Service, "
Le Lutin dans Le Jardin,Paris,French,3264,4,251,"Truly Awesome, Nice little spot near St Michel, 12/24/2017, 07/27/2017","Truly Awesome, Nice little spot near St Michel, "
Le Mont Liban,Paris,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options",3265,4,137,"Dont miss it ;), Great food  tasty and generous, 06/23/2017, 06/17/2017","Dont miss it ;), Great food  tasty and generous, "
La Dispensa,Paris,"Italian, Mediterranean",3266,45,41,"Good Itlaian food, Organic food and interesting wine choices, 10/20/2016, 07/30/2016","Good Itlaian food, Organic food and interesting wine choices, "
Poitou,Paris,"French, Vegetarian Friendly",3267,45,30,"Great time , Top, 12/13/2017, 11/07/2017","Great time , Top, "
Les Paresseux,Paris,"Wine Bar, Brew Pub",3268,45,40,"My favourite wine bar in Paris, Great for a drink and a few bites, 11/21/2017, 11/27/2016","My favourite wine bar in Paris, Great for a drink and a few bites, "
Le Bistrot,Paris,"French, European",3269,45,49,"Completely underwhelmed, Cosy and value for money, 02/27/2017, 12/27/2016","Completely underwhelmed, Cosy and value for money, "
Guido De Luca,Paris,"Italian, Mediterranean, European",3270,45,83,"Fabulous , Years of the best dining, 10/27/2017, 10/13/2017","Fabulous , Years of the best dining, "
Ito,Paris,"Japanese, Asian, Vegetarian Friendly",3271,4,140,"Inventive and tasty, Needs an uplift, 10/04/2017, 05/25/2017","Inventive and tasty, Needs an uplift, "
L’Eclair de Genie,Paris,"Italian, Mediterranean, European",3272,45,29,"Still Great, Glad I tried it, 01/07/2018, 12/27/2017","Still Great, Glad I tried it, "
Madame Messieurs,Paris,French,3273,45,69,"Great lunch spot, Amazing cozy restaurant, 07/07/2017, 03/11/2017","Great lunch spot, Amazing cozy restaurant, "
Anahuacalli,Paris,"Mexican, Latin, Vegetarian Friendly",3274,4,396,"Good Mexican Food in Paris, Authentic Mexican food and the best Margar, 06/14/2017, 06/05/2017","Good Mexican Food in Paris, Authentic Mexican food and the best Margar, "
Dr Feelgood Les Halles,Paris,American,3275,45,38,"Great Food, 04/21/2016","Great Food,"
The Beef Club,Paris,"French, Steakhouse, European, Grill",3276,35,431,"Fun cute steak restaurant, Great steakhouse in Paris with price of, 01/07/2018, 12/26/2017","Fun cute steak restaurant, Great steakhouse in Paris with price of, "
lEpopee,Paris,"French, European",3277,4,174,"little jewel of great food in 15th arrondi, Great food with Monsieur Fawlty Serving, 09/02/2017, 04/26/2017","little jewel of great food in 15th arrondi, Great food with Monsieur Fawlty Serving, "
Dokkebi,Paris,"Asian, Korean",3278,4,49,"Sooo tasty and enjoyable 🇰🇷, Perfect, 12/02/2017, 12/13/2017","Sooo tasty and enjoyable 🇰🇷, Perfect, "
La Fourmi,Paris,"Bar, European, French",3279,4,120,"Trendy but Unpretentious Bar, Good, non-touristy place, 12/05/2017, 10/11/2017","Trendy but Unpretentious Bar, Good, non-touristy place, "
Piccola Italia,Paris,"Italian, European, Vegetarian Friendly",3280,45,154,"High class service and food near two major, Italian Cuisine in the Heart of Paris, 12/13/2017, 10/25/2017","High class service and food near two major, Italian Cuisine in the Heart of Paris, "
Chieng Mai,Paris,"Asian, Thai, Vegetarian Friendly",3281,4,116,"Back to Thailand, Good Taste with Reasonable Price, 04/13/2017, 02/11/2017","Back to Thailand, Good Taste with Reasonable Price, "
La Perla - Restaurant Italien,Paris,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options",3282,4,439,"Better than most Pizza Places, A welcome comfort, 04/05/2017, 01/05/2018","Better than most Pizza Places, A welcome comfort, "
Le Vinci,Paris,"Italian, Mediterranean, European",3283,45,62,"Friendly and welcoming, outstanding, 12/31/2016, 10/20/2016","Friendly and welcoming, outstanding, "
Sushi Yaki,Paris,"Japanese, Sushi, Asian",3284,45,55,"Super friendly service, Very nice, 07/12/2017, 07/01/2017","Super friendly service, Very nice, "
House of 3 Brothers,Paris,Vegetarian Friendly,3285,45,40,"German Cakes (All the more reason to pay a, Will return again and again, 11/02/2017, 10/09/2017","German Cakes (All the more reason to pay a, Will return again and again, "
Le Bistro lyonnais,Paris,"French, Bar, European",3286,4,115,"Nice, Dinner in a cozy athmosphere, 12/16/2017, 02/08/2017","Nice, Dinner in a cozy athmosphere, "
Pomme de Pain,Paris,"French, Fast Food, Vegetarian Friendly",3287,4,157,"Inexpensive for the Champs Elysees, Better and cheaper than fast food, 11/24/2017, 10/25/2017","Inexpensive for the Champs Elysees, Better and cheaper than fast food, "
Le Traiteur Marocain,Paris,"African, Moroccan, Middle Eastern",3288,4,82,"Great food, Great tajine, great value, 08/09/2017, 06/17/2017","Great food, Great tajine, great value, "
LApollo,Paris,"French, Contemporary",3289,4,94,"Nothing special, Wonderful, 09/21/2017, 05/21/2017","Nothing special, Wonderful, "
Piccoli Cugini,Paris,"Italian, European, Pizza, Vegetarian Friendly",3290,4,147,"A Cozy restaurant Delicious Food, Impressed with this little place, 10/03/2017, 08/10/2017","A Cozy restaurant Delicious Food, Impressed with this little place, "
Le Taste Monde,Paris,"French, European, Vegetarian Friendly",3291,35,163,"French excellent Food and international Wi, Delicious food, 03/17/2017, 01/21/2017","French excellent Food and international Wi, Delicious food, "
Le Boui Boui,Paris,"French, European",3292,4,118,"Delicious & authentic dinner, A delightful dinner, 02/21/2017, 07/01/2016","Delicious & authentic dinner, A delightful dinner, "
Radioeat,Paris,Vegetarian Friendly,3293,4,48,"Great new place for the hood, Good and fancy, 01/08/2018, 11/18/2017","Great new place for the hood, Good and fancy, "
Ancora Tu,Paris,"Italian, Mediterranean",3295,45,39,"Two sisters that cook, Excellent new Italian restaurant close to, 10/24/2017, 06/15/2017","Two sisters that cook, Excellent new Italian restaurant close to, "
Auberge du Mouton Blanc,Paris,"French, European, Vegetarian Friendly",3296,4,199,"For the food , not the history, A treat for a Saturday lunch, 03/28/2017, 05/24/2017","For the food , not the history, A treat for a Saturday lunch, "
Le Bucheron,Paris,"Italian, French, European, Vegetarian Friendly",3297,4,158,"Fabulous Italian with a great atmosphere i, Great service an awesome atmosphere, 10/05/2017, 09/01/2017","Fabulous Italian with a great atmosphere i, Great service an awesome atmosphere, "
Il Grigio,Paris,"Italian, Pizza, European, Vegetarian Friendly",3298,4,121,"Fantastic Food & Terrific Service, Stumbled Upon Gem, 05/25/2017, 05/17/2017","Fantastic Food & Terrific Service, Stumbled Upon Gem, "
Le Reveil du 10eme,Paris,French,3299,4,72,"great set lunch, Recommended and authentic, 05/31/2017, 10/10/2016","great set lunch, Recommended and authentic, "
Uptown,Paris,"French, European",3300,4,134,"Check this place out, Brilliant brunch, 04/26/2017, 12/12/2016","Check this place out, Brilliant brunch, "
La Reine de Saba,Paris,"African, Ethiopian",3301,4,74,"Loved it, OK place in a silly area, 01/07/2018, 01/17/2017","Loved it, OK place in a silly area, "
Les 4 Freres,Paris,"African, Middle Eastern, Halal",3302,4,136,"Very authentic, Amazing Food and Service, 07/16/2017, 02/19/2017","Very authentic, Amazing Food and Service, "
Rachels Pont aux Choux,Paris,"American, Vegetarian Friendly",3303,4,245,"Toilet, Food is ok, 12/17/2017, 09/19/2017","Toilet, Food is ok, "
Creperie Framboise,Paris,"French, European, Vegetarian Friendly",3304,4,94,"Tasty crepes, Neat and quick option, 07/02/2017, 01/04/2018","Tasty crepes, Neat and quick option, "
Shook,Paris,Japanese,3305,45,71,"A good plan, Always a pleasure coming here, 06/25/2017, 09/13/2016","A good plan, Always a pleasure coming here, "
Flams,Paris,"French, Vegetarian Friendly",3306,4,150,"Great food, Good value for money, tasty food, 06/06/2017, 01/14/2017","Great food, Good value for money, tasty food, "
"Leandres, Happy Food & Coffee",Paris,"Cafe, International, South American, Colombian",3307,5,19,"One of the nicest little cafes in Paris, Amazing food, Amazing place , Amazing peop, 12/15/2017, 09/20/2017","One of the nicest little cafes in Paris, Amazing food, Amazing place , Amazing peop, "
Plaisir dEquiThe,Paris,"French, Healthy",3308,45,33,"A tea shop for the spirit, Must visit Paris tea room, 11/22/2016, 09/21/2014","A tea shop for the spirit, Must visit Paris tea room, "
MUXU,Paris,"French, European",3309,45,109,"Wonderful Chef and Staff, The best food we ate in Paris, 10/09/2016, 09/10/2016","Wonderful Chef and Staff, The best food we ate in Paris, "
Cabaret Michou,Paris,Italian,3310,45,31,"Very different, Dont go, 05/30/2017, 11/24/2016","Very different, Dont go, "
Cafe Marlette,Paris,"French, Cafe, European, Delicatessen, Vegetarian Friendly, Vegan Options",3311,4,181,"Perfect brunsch but arrive in time, Delicious healthy breakfast, 11/01/2017, 08/26/2017","Perfect brunsch but arrive in time, Delicious healthy breakfast, "
Le 12-15,Paris,"French, Bar, European, Pub",3312,4,121,"Good food in quiet restaurant on Saturday, You get what you see, 03/04/2017, 12/13/2017","Good food in quiet restaurant on Saturday, You get what you see, "
Place du Liban,Paris,"Lebanese, Mediterranean",3313,45,42,"A nice taste of Est in Paris, Worth a visit each time I am in Paris, 03/29/2016, 11/17/2015","A nice taste of Est in Paris, Worth a visit each time I am in Paris, "
Cafe Pierre,Paris,"French, Bar, European, Pub",3314,4,117,"Friendly service and reliable fare, Very friendly, 07/01/2017, 09/10/2017","Friendly service and reliable fare, Very friendly, "
La Rose de France,Paris,"French, European",3315,4,442,"The Rose on Place Dauphine, Nice presentation and decent food, 11/09/2017, 11/01/2017","The Rose on Place Dauphine, Nice presentation and decent food, "
La Louve,Paris,Italian,3316,45,43,"Great lunch, Master chef, 05/24/2017, 07/21/2016","Great lunch, Master chef, "
Le Dokhans Bar,Paris,"French, Wine Bar",3317,45,79,"Charming and elegant, Snappy little spot with lovely fizz, 12/08/2017, 12/02/2017","Charming and elegant, Snappy little spot with lovely fizz, "
Fujiyama paris etoile,Paris,"Japanese, Sushi",3318,45,40,"reasonable food at reasonable prices, Inexpensive for neighborhood, good service, 04/29/2017, 04/13/2017","reasonable food at reasonable prices, Inexpensive for neighborhood, good service, "
Au Bon Pho,Paris,"Asian, Vietnamese",3319,45,72,"Excellent Pho, Friendly Atmosphere, Amazing Food & Service, 06/04/2017, 11/30/2016","Excellent Pho, Friendly Atmosphere, Amazing Food & Service, "
Le Bernica,Paris,Italian,3321,4,220,"Delicious food, friendly service, Gastronomic blast straight from La Réunion, 06/06/2017, 07/10/2017","Delicious food, friendly service, Gastronomic blast straight from La Réunion, "
Les Sardignac,Paris,"French, Vegetarian Friendly",3322,4,71,"Very good ambiance and very good service, Nice restaurant, 10/03/2017, 12/02/2016","Very good ambiance and very good service, Nice restaurant, "
Le Pont de Yunnan,Paris,"Chinese, Asian",3323,4,121,"Will go back, Very very very nice, unknown for me but re, 12/25/2017, 10/03/2017","Will go back, Very very very nice, unknown for me but re, "
La butte aux piafs,Paris,"French, Bar, European, Vegetarian Friendly",3324,4,135,"Busy corner bistro, Enthusiastic, 10/06/2017, 03/16/2017","Busy corner bistro, Enthusiastic, "
LArc Cafe,Paris,"Bar, French, Cafe, European, Vegetarian Friendly",3325,4,159,"Good Food, Friendly Waiters, Good bistro food, 10/18/2017, 09/26/2017","Good Food, Friendly Waiters, Good bistro food, "
Le III,Paris,"French, European, Fusion",3326,45,66,"Second visit, again spectacular, Good find around the Marais, 09/30/2017, 05/01/2017","Second visit, again spectacular, Good find around the Marais, "
Nanashi,Paris,"Japanese, Asian, Fusion, Vegetarian Friendly, Vegan Options",3327,4,132,"Lovely evening if you arent in a hurry, Restaurant for omnivores but good nonethel, 02/19/2017, 01/04/2017","Lovely evening if you arent in a hurry, Restaurant for omnivores but good nonethel, "
Bistrot du Centre,Paris,"French, International, European",3328,4,106,"Lovely food with friendly and helpful staf, Good food and cocktails, 05/10/2017, 02/05/2017","Lovely food with friendly and helpful staf, Good food and cocktails, "
Au Rendez-Vous de Saint Germain,Paris,"French, Bar, European",3329,4,93,"Friendly and welcoming, Very pleasant dinner with family, 12/31/2017, 09/20/2017","Friendly and welcoming, Very pleasant dinner with family, "
HOT VOG,Paris,Vegetarian Friendly,3330,45,24,"Very good vegan place with passionate owne, So good we went twice, 12/17/2017, 12/03/2017","Very good vegan place with passionate owne, So good we went twice, "
Kiranes,Paris,"Indian, Vegetarian Friendly",3331,35,244,"INDIAN food in Paris, Good but expensive Restaurant, 01/05/2018, 12/13/2017","INDIAN food in Paris, Good but expensive Restaurant, "
LHeure Bleue,Paris,"French, Vegetarian Friendly, Vegan Options",3332,4,92,"Wonderful dinner, Good experience, 02/22/2017, 12/29/2016","Wonderful dinner, Good experience, "
Chai Vous,Paris,French,3333,45,44,"Quality prevails, A boutique restaurant with excellent wine, 12/12/2017, 05/23/2017","Quality prevails, A boutique restaurant with excellent wine, "
Creperie Framboise Louvre St-Honore,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",3334,4,229,"sidewalk sandwiches, Amazing crepes, 01/05/2018, 10/30/2017","sidewalk sandwiches, Amazing crepes, "
La Cavallina,Paris,"Italian, Mediterranean, European, Vegetarian Friendly",3335,4,150,"Friendly and good Italian food at reasonab, Favorite Italian restaurant, 06/28/2017, 04/24/2017","Friendly and good Italian food at reasonab, Favorite Italian restaurant, "
Monts et Rizieres,Paris,"Vietnamese, Vegetarian Friendly",3336,5,21,"Tout droit du Vietnam, Dinner take out, 03/01/2017, 12/07/2016","Tout droit du Vietnam, Dinner take out, "
Les Miscellanees de M Jash,Paris,"Vietnamese, Vegetarian Friendly",3337,5,28,"Youll get one of the best welcome in Pari, Cozy restaurant serves big flavors, 10/19/2017, 05/14/2017","Youll get one of the best welcome in Pari, Cozy restaurant serves big flavors, "
Les Saveurs Du Sichuan,Paris,Chinese,3338,4,76,"Good food but bad service and quite expens, Delicious, 04/10/2017, 01/27/2017","Good food but bad service and quite expens, Delicious, "
Cafe du musee Rodin,Paris,"French, Cafe, European, Vegetarian Friendly",3339,4,213,"Good Food Quite good ambience Limited se, A Great Place to go while visiting the Mus, 08/29/2017, 05/13/2017","Good Food Quite good ambience Limited se, A Great Place to go while visiting the Mus, "
Le Petit Opportun,Paris,"French, European, Bar, Pub",3340,4,57,"Cosy and friendly staff, Just what we needed, 10/18/2017, 10/04/2017","Cosy and friendly staff, Just what we needed, "
LE LUXEMBOURG,Paris,"French, Bar, European",3341,35,255,"Good onion soup, Lovely breakfast, 11/20/2017, 10/28/2017","Good onion soup, Lovely breakfast, "
Restaurant De Sers,Paris,"French, European",3342,4,143,"A good, standard international menu, Very nice place and good food, a bit expan, 04/12/2017, 04/10/2017","A good, standard international menu, Very nice place and good food, a bit expan, "
Little Seoul,Paris,"Asian, Korean, Vegetarian Friendly",3343,4,72,"Very nice small Korean place, Great Service and Food, 12/30/2017, 12/09/2017","Very nice small Korean place, Great Service and Food, "
Le Basilic,Paris,"French, European, Vegetarian Friendly",3344,4,277,"Superb servic and food, Nice outside seating area serving great fo, 12/09/2017, 10/07/2017","Superb servic and food, Nice outside seating area serving great fo, "
Auberge St Antoine,Paris,French,3345,45,47,"perfect for couples, Simple, efficient, tasty, 01/08/2018, 04/25/2017","perfect for couples, Simple, efficient, tasty, "
Marcel et Clementine,Paris,"French, Bar, European, Vegetarian Friendly",3346,4,67,"Nice spot for a drink, Lovely lunch, 08/20/2017, 05/27/2017","Nice spot for a drink, Lovely lunch, "
Pepone Cafe,Paris,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly",3347,4,181,"Good for break in Monmartre, For tasty pasta, 12/08/2017, 09/16/2017","Good for break in Monmartre, For tasty pasta, "
Da Franco,Paris,"Italian, European, Mediterranean, Vegetarian Friendly",3348,45,95,"Excellent, A Great Italian Food Find in Paris, 01/05/2018, 06/12/2017","Excellent, A Great Italian Food Find in Paris, "
Palace Thai,Paris,"Asian, Thai, Vegetarian Friendly",3350,4,102,"Tasty, Good Thai Food, 08/29/2017, 05/22/2017","Tasty, Good Thai Food, "
BurgHeure & Co,Paris,"French, American, Fast Food",3351,5,23,"Excellent Fresh, Tasty and Value for Mone, Delicious, 10/28/2017, 04/07/2017","Excellent Fresh, Tasty and Value for Mone, Delicious, "
Les Perches du Chai,Paris,"French, European, Spanish, Wine Bar, Vegetarian Friendly",3352,45,75,"28€ for a miserable brunch, Made a rare weekend together even more per, 06/11/2017, 09/21/2016","28€ for a miserable brunch, Made a rare weekend together even more per, "
Le Saut du crapaud,Paris,"French, Fusion, Mexican",3353,4,122,"amazing evening with friends, Truly amazing, 04/15/2017, 11/01/2016","amazing evening with friends, Truly amazing, "
La Gare,Paris,"French, European, Vegetarian Friendly",3354,35,1246,"Nice ambience but food so so, Favorite Spot in Summer, 12/17/2017, 12/14/2017","Nice ambience but food so so, Favorite Spot in Summer, "
Siam City,Paris,Thai,3355,45,49,"Great Thai, Just ok, 02/28/2017, 03/07/2016","Great Thai, Just ok, "
Restaurant Chez Wang,Paris,Chinese,3356,5,37,"Real Chinese homemade food, Excellent, 11/10/2016, 06/25/2016","Real Chinese homemade food, Excellent, "
Senatore Caffe,Paris,"Italian, Vegetarian Friendly",3357,4,80,"New Italian place in the 15th--good pasta, Good pizza, 06/07/2017, 06/29/2017","New Italian place in the 15th--good pasta, Good pizza, "
Lan Rung,Paris,"Asian, Vietnamese, Vegetarian Friendly",3358,45,40,"Recommended, Excellent meal at reasonable price, 01/05/2018, 09/19/2017","Recommended, Excellent meal at reasonable price, "
Ristorante di Como,Paris,"Italian, European",3359,45,210,"Solid Italian Fare, Reasonably Priced, Nice Italian in the heart of the 6th distr, 11/22/2017, 09/29/2017","Solid Italian Fare, Reasonably Priced, Nice Italian in the heart of the 6th distr, "
Mandarin Saint-Cyr,Paris,"Chinese, Asian",3360,45,41,"So Good that we had to come back, Very Good Chinese Cuisine Near Palais des, 11/26/2017, 08/31/2016","So Good that we had to come back, Very Good Chinese Cuisine Near Palais des, "
Doppio,Paris,"Italian, Mediterranean, Vegetarian Friendly",3361,4,44,"Simply good , Excellent, 08/21/2017, 02/17/2017","Simply good , Excellent, "
Au Petit Village,Paris,"Moroccan, Mediterranean, European, Middle Eastern, Tunisian, French, Halal",3362,45,68,"Good food, kindly service and family feeli, Perfect, 11/26/2017, 11/03/2017","Good food, kindly service and family feeli, Perfect, "
Brasseria Il Gigolo,Paris,"Wine Bar, Italian, Pizza, Mediterranean, Vegetarian Friendly, Vegan Options",3363,4,123,"Good value for your money, Excellent Charcuterie, 11/11/2017, 09/21/2017","Good value for your money, Excellent Charcuterie, "
Le Poutch,Paris,"French, Cafe, Vegetarian Friendly, Vegan Options",3364,45,57,"Lovely small and cosy brunch place with de, Jolly good, home baked and freshly prepare, 09/13/2017, 04/11/2017","Lovely small and cosy brunch place with de, Jolly good, home baked and freshly prepare, "
Abuela,Paris,"French, Cafe, Vegetarian Friendly, Vegan Options",3365,45,33,"Feeling Spanish in Pigalle, Spanish tapas , 10/02/2017, 06/30/2017","Feeling Spanish in Pigalle, Spanish tapas , "
Pignon,Paris,"French, Bar, Cafe, Wine Bar",3366,5,18,"Service the way you want it, Fantastic brunch, 05/18/2017, 08/21/2016","Service the way you want it, Fantastic brunch, "
Le Globe,Paris,"French, Bar, European, Pub, Contemporary",3367,4,159,"Worth it, Enjoyable early evening drinks, 11/29/2017, 07/24/2017","Worth it, Enjoyable early evening drinks, "
La Cantine de la Cigale,Paris,"French, European, Gastropub",3368,4,162,"Good food reasonable price, Nice for informal lunch, 11/06/2017, 03/20/2017","Good food reasonable price, Nice for informal lunch, "
231 East Street,Paris,American,3369,4,74,"Good burgers, Tasty burgers, 06/28/2017, 12/31/2017","Good burgers, Tasty burgers, "
La Fabrica,Paris,"Italian, Mediterranean, Vegetarian Friendly",3370,4,90,"Really good salads, Late night good food, great staff, 09/12/2017, 09/06/2017","Really good salads, Late night good food, great staff, "
Le Laurier,Paris,"French, European",3371,4,134,"Welcome to jazz clubnice, Belle adresse, 08/16/2017, 12/17/2016","Welcome to jazz clubnice, Belle adresse, "
Curry Street Indian Delicatessen,Paris,"Indian, Vegetarian Friendly",3372,45,51,"Good food, too bad about the misunderstand, Interesting meal options ideal for a short, 10/03/2017, 05/15/2017","Good food, too bad about the misunderstand, Interesting meal options ideal for a short, "
Little Bulles,Paris,"Indian, Vegetarian Friendly",3373,45,80,"A new great location, Excellant food but expensive, 09/22/2016, 01/21/2016","A new great location, Excellant food but expensive, "
Le Colonel Moutarde,Paris,"French, Bar, Pub, European",3374,4,97,"friendly staff, traditional un-touristy re, Quick bite, 12/13/2017, 05/24/2017","friendly staff, traditional un-touristy re, Quick bite, "
Akasaka,Paris,"Asian, Korean",3375,45,38,"Korean food in Paris, one of the best corean restaurants of the, 11/20/2017, 08/31/2017","Korean food in Paris, one of the best corean restaurants of the, "
Ton Hon,Paris,"Chinese, Asian",3376,45,50,"服務好 東西好吃又便宜, Great Asian food, affordable price, 05/30/2017, 05/02/2017","服務好 東西好吃又便宜, Great Asian food, affordable price, "
Le Grand Bol,Paris,Chinese,3377,45,37,"They serve ravioli and not shorompo, roasted duck was dry but ok, 05/28/2017, 03/12/2017","They serve ravioli and not shorompo, roasted duck was dry but ok, "
JIN Saint-Honore,Paris,"Japanese, Seafood, Sushi, Asian",3378,45,128,"A divine experience, Outstanding jin menu, 03/01/2017, 03/01/2017","A divine experience, Outstanding jin menu, "
La boissonniere,Paris,French,3379,45,35,"Excellent food and excellent service High, Nice wine bar - lively, 11/03/2017, 02/21/2017","Excellent food and excellent service High, Nice wine bar - lively, "
LAnecdote,Paris,French,3380,45,43,"Oh wow, 09/10/2016","Oh wow,"
Tavola Calda,Paris,"Italian, Pizza, European",3381,4,90,"Great italian food in Paris, HORRIBLE RESTAURANT DO NOT COME, 06/29/2017, 05/19/2017","Great italian food in Paris, HORRIBLE RESTAURANT DO NOT COME, "
ChaCha Et Compagnie,Paris,Seafood,3382,4,102,"Simple but tasty seafood, sick twice after eating, 04/10/2017, 07/26/2017","Simple but tasty seafood, sick twice after eating, "
Le Cinquieme Sens,Paris,"French, Vegetarian Friendly",3383,5,19,"Love this place, Brilliant, quirky, lively cocktail bar, 09/17/2017, 06/27/2017","Love this place, Brilliant, quirky, lively cocktail bar, "
Clasico Argentino,Paris,"Latin, Argentinean, Vegetarian Friendly",3384,4,127,"Good food, service and price, Perfect dinner, 10/16/2017, 08/30/2017","Good food, service and price, Perfect dinner, "
Marcel,Paris,"French, American, European, Vegetarian Friendly",3385,4,264,"Brunch brunch brunch, Great food, very nice location, 10/24/2017, 07/15/2017","Brunch brunch brunch, Great food, very nice location, "
Le Grand Bistro Breteuil,Paris,"French, European, Vegetarian Friendly",3386,35,826,"Very nice meal, but at the end of the even, Strictly Average, 12/08/2017, 10/13/2017","Very nice meal, but at the end of the even, Strictly Average, "
Godjo Restaurant,Paris,"African, Ethiopian, Vegetarian Friendly, Vegan Options",3387,4,210,"Delicious and insisting on the original st, Yum, 09/25/2017, 09/18/2017","Delicious and insisting on the original st, Yum, "
La Petite Casserole,Paris,"French, European",3388,45,133,"Highlight of our trip to Paris, Charming restaurant in the 13th Arr, 09/19/2017, 07/07/2017","Highlight of our trip to Paris, Charming restaurant in the 13th Arr, "
Bagel Market,Paris,"French, European",3389,45,91,"Good bagels not far from Pompidou, Good Bagels but slow service & Expensive, 01/02/2017, 11/02/2016","Good bagels not far from Pompidou, Good Bagels but slow service & Expensive, "
Flams,Paris,"French, Vegetarian Friendly",3390,35,402,"A unique meal, One of Those Regular Places to Grab a Quic, 10/19/2017, 10/04/2017","A unique meal, One of Those Regular Places to Grab a Quic, "
Koshi,Paris,"Japanese, Sushi, Asian, Vegetarian Friendly, Vegan Options",3391,4,103,"Excellente, Very disappointed, 11/24/2017, 08/23/2017","Excellente, Very disappointed, "
Thalassa,Paris,Greek,3392,45,47,"Super friendly service, Excellent food; wonderful service, 05/27/2017, 07/15/2016","Super friendly service, Excellent food; wonderful service, "
Invitez-vous chez nous,Paris,French,3393,5,36,"Hidden secret, Amazing french restaurant, 11/22/2017, 07/19/2016","Hidden secret, Amazing french restaurant, "
La Boutique des Vins,Paris,"French, European, Wine Bar",3394,4,136,"Good hidden place, Good food, 10/13/2017, 10/06/2017","Good hidden place, Good food, "
Le Riad,Paris,"Moroccan, Mediterranean, Vegetarian Friendly",3396,45,74,"Tasty food, A hidden treasure, 12/28/2017, 11/04/2016","Tasty food, A hidden treasure, "
Restaurant Ehden,Paris,"Lebanese, Mediterranean, Middle Eastern",3397,45,65,"The best falafel Ive ever tasted, Great Place & Food, 10/02/2017, 08/10/2016","The best falafel Ive ever tasted, Great Place & Food, "
Lucky Luciano,Paris,"Italian, Pizza, Vegetarian Friendly",3398,4,86,"Pizza lovers, Delicious with a warm local atmosphere, 02/20/2017, 02/10/2017","Pizza lovers, Delicious with a warm local atmosphere, "
NoLita,Paris,"Italian, Mediterranean, European, Vegetarian Friendly",3399,4,224,"A nice place to eat, Surprisingly reasonable for the quality, 11/25/2017, 10/17/2017","A nice place to eat, Surprisingly reasonable for the quality, "
Tribar,Paris,"French, International",3400,35,315,"Crowded and noisy, Amazing Hen Party (EVJF), 07/25/2017, 05/15/2017","Crowded and noisy, Amazing Hen Party (EVJF), "
Les Cormorans,Paris,French,3401,4,105,"Best creperie, One of my favorite restaurants, 02/16/2017, 07/03/2016","Best creperie, One of my favorite restaurants, "
Chez Leon,Paris,"French, Moroccan, Mediterranean",3402,45,69,"Really good couscous and warm welcome, Just perfect, 07/21/2016, 06/29/2016","Really good couscous and warm welcome, Just perfect, "
Chez Cezigue,Paris,French,3403,45,68,"Nice restaurant in a residential area, New name : Chez Zézigue, 06/01/2016, 04/13/2016","Nice restaurant in a residential area, New name : Chez Zézigue, "
Ny Hav,Paris,Asian,3404,45,58,"Good family vietnamese cuisine, very good place for food, 08/02/2016, 04/12/2016","Good family vietnamese cuisine, very good place for food, "
Bistro Dupleix,Paris,"French, Bar, European",3405,4,284,"Solid choice for a meal, A nice cafe thats an easy stroll from the, 11/07/2017, 07/29/2017","Solid choice for a meal, A nice cafe thats an easy stroll from the, "
Le Coin Dalexandre,Paris,French,3406,4,91,"Excellent, Super Bon - Chalereuse, Gastromique et C, 08/24/2017, 05/14/2017","Excellent, Super Bon - Chalereuse, Gastromique et C, "
Passarito Mon Amour,Paris,French,3407,45,46,"Great Discovery, Franco Portuguese delcatessen wine bar, 04/28/2016, 04/13/2016","Great Discovery, Franco Portuguese delcatessen wine bar, "
"BocARriba, Cantina Latina",Paris,"Latin, Spanish, Fusion, Vegetarian Friendly",3408,5,20,"nice but you need a lot of patient, Great, 04/29/2017, 11/30/2016","nice but you need a lot of patient, Great, "
